C,epsilon,degree,coeff,MEE_mean,MEE_std,seconds
0.1,0.01,3,1.0,3.7291484153719248,0.087390362279527,0.4759843349456787
0.1,0.01,4,1.0,3.4619303204733365,0.05855044162397548,0.4857003688812256
0.1,0.01,5,1.0,3.2733557858831963,0.08213938748756319,0.5347106456756592
0.5,0.01,3,1.0,3.3629465191309675,0.10169438086617698,0.5064144134521484
0.5,0.01,4,1.0,3.121713259636957,0.13660698891857315,0.5912702083587646
0.5,0.01,5,1.0,3.1015379198313826,0.153534187120401,0.7893095016479492
1.0,0.01,3,1.0,3.3155142564072464,0.10549133308713274,0.5280547142028809
1.0,0.01,4,1.0,3.1007717102933317,0.16448383099882374,0.7489633560180664
1.0,0.01,5,1.0,3.142543794883439,0.15167302957468076,1.1693651676177979
5.0,0.01,3,1.0,3.357951748111032,0.13694565668203998,0.9220054149627686
5.0,0.01,4,1.0,3.18792031096671,0.1476394767843197,2.0942933559417725
5.0,0.01,5,1.0,3.409376161328693,0.17209132711777472,4.467961549758911
0.1,0.01,3,0.5,4.325496970995552,0.14191975641677815,0.6373920440673828
0.1,0.01,3,1.5,3.5673092114629235,0.0847614021180364,0.4850718975067138
0.1,0.01,4,0.5,4.635615888916706,0.16228176314125814,0.4899895191192627
0.1,0.01,4,1.5,3.264110373434564,0.10222147815546972,0.5415043830871582
0.1,0.01,5,0.5,4.6903993461635825,0.15157759750299354,0.5110151767730713
0.1,0.01,5,1.5,3.0976011065528017,0.1505677165843786,0.6153264045715332
0.5,0.01,3,0.5,3.5459349007665835,0.05641694894278946,0.5248160362243652
0.5,0.01,3,1.5,3.3412249513269634,0.1112121336248366,0.5680055618286133
0.5,0.01,4,0.5,3.5176259564146286,0.05843927799191386,0.5465438365936279
0.5,0.01,4,1.5,3.1232470053215264,0.15852033530221693,0.7157831192016602
0.5,0.01,5,0.5,3.5057071740821413,0.056783926821798114,0.5700783729553223
0.5,0.01,5,1.5,3.1300338190771937,0.1511098341570111,1.3086698055267334
1.0,0.01,3,0.5,3.3990518637884373,0.07904804663870513,0.500269889831543
1.0,0.01,3,1.5,3.3104141765146853,0.11274640612085728,0.5843849182128906
1.0,0.01,4,0.5,3.2696121200775337,0.08894593361456203,0.5786824226379395
1.0,0.01,4,1.5,3.1342202319277206,0.16935600507590046,0.9406251907348632
1.0,0.01,5,0.5,3.3160897001397047,0.09987036475239483,0.6600136756896973
1.0,0.01,5,1.5,3.2117645526229195,0.15990133734334286,2.2104506492614746
5.0,0.01,3,0.5,3.340969753233252,0.11452476668106412,0.7067770957946777
5.0,0.01,3,1.5,3.3654843494875113,0.13898634092313258,1.174583911895752
